,Age,Location,Phone Brand,Screen Time (hrs/day),Data Usage (GB/month),Calls Duration (mins/day),Number of Apps Installed,Social Media Time (hrs/day),E-commerce Spend (INR/month),Streaming Time (hrs/day),Gaming Time (hrs/day),Monthly Recharge Cost (INR),Primary Use,Gender_Male,Gender_Other,OS_iOS
0,53,8,8,3.7,23.9,37.9,104,3.9,469,5.2,4.1,803,0,1,0,0
1,60,3,6,9.2,28.1,13.7,169,2.8,4997,5.1,0.4,1526,2,0,1,0
2,37,0,3,4.5,12.3,66.8,96,3.0,2381,1.7,2.9,1619,1,0,0,0
3,32,9,7,11.0,25.6,156.2,146,5.2,1185,3.2,0.3,1560,1,1,0,0
4,16,8,9,2.2,2.5,236.2,86,5.5,106,3.4,2.3,742,3,1,0,0
5,21,5,5,5.4,10.6,210.6,25,4.2,6285,0.6,4.8,1749,1,1,0,0
6,57,7,0,6.0,35.2,154.5,123,0.8,2653,2.9,2.3,1073,3,0,0,1
7,56,6,6,3.1,43.5,125.3,188,2.3,9767,5.2,5.0,1136,1,0,1,0
8,46,6,5,5.3,46.4,21.3,194,3.7,2870,6.1,2.8,1253,1,0,0,0
9,44,6,0,9.9,10.6,180.2,84,4.8,9193,7.6,0.4,168,0,0,1,1
10,55,7,3,1.6,23.7,192.0,27,3.1,9330,1.2,2.3,1098,4,0,1,0
11,41,3,5,7.5,23.5,84.9,187,0.9,643,3.5,2.7,151,3,0,0,0
12,53,1,6,10.5,1.4,33.7,137,4.5,7854,7.2,1.4,240,0,1,0,0
13,35,5,6,10.3,32.4,247.1,124,5.2,3347,3.8,4.5,972,3,1,0,0
14,33,5,7,1.7,33.2,208.8,121,3.0,3185,4.2,0.5,1046,1,0,0,0
15,52,1,1,5.1,28.5,169.2,161,4.6,6175,4.4,4.3,1769,4,1,0,0
16,46,8,0,3.1,23.6,153.9,183,2.5,6242,6.2,0.4,1679,0,0,1,1
17,54,6,0,11.6,12.6,210.4,62,4.9,4642,0.9,4.1,1360,1,1,0,1
18,50,2,1,5.3,5.2,235.6,188,4.6,1120,1.0,0.8,1639,4,0,0,0
19,40,4,2,9.0,38.9,289.6,62,2.4,8012,7.7,2.0,1224,4,0,1,0
20,60,9,7,10.4,46.0,38.0,110,3.0,511,6.8,1.3,311,3,1,0,0
21,59,9,9,11.7,9.1,203.9,101,5.8,2579,2.6,4.1,446,2,0,1,0
22,46,2,7,8.1,15.5,206.8,77,5.9,1776,3.4,2.5,899,3,0,1,0
23,16,4,8,1.4,25.5,222.0,141,1.6,1119,2.8,0.4,1118,2,0,0,0
24,29,1,6,7.0,41.7,51.0,130,1.4,2604,3.5,1.6,1154,0,0,0,0
25,36,4,8,5.6,47.4,155.4,123,5.9,1886,2.3,3.0,955,4,1,0,0
26,15,3,8,9.2,42.7,230.9,180,0.5,4611,1.0,2.5,210,2,1,0,0
27,41,5,6,8.1,44.1,81.8,25,1.9,5545,5.7,3.7,1488,0,0,1,0
28,51,6,8,10.7,45.1,94.0,127,3.5,2293,6.7,5.0,333,0,0,0,0
29,45,4,6,6.3,34.5,244.3,125,5.0,1647,5.9,0.2,1541,1,0,0,0
30,39,5,2,4.0,9.4,194.2,32,1.5,8314,6.7,3.5,447,1,0,0,0
31,40,7,4,8.4,25.7,262.8,174,1.3,3010,4.9,3.0,419,0,0,0,0
32,28,2,9,5.3,16.8,264.9,84,1.3,9222,7.2,3.0,1699,3,0,0,0
33,23,2,2,11.4,48.4,216.8,98,3.2,5026,2.7,4.9,1079,2,0,0,0
34,57,3,8,4.1,31.2,61.5,149,5.1,386,3.9,1.0,1935,3,1,0,0
35,23,0,8,10.7,29.0,9.0,175,2.9,633,6.4,0.0,1345,3,0,0,0
36,56,6,3,9.4,42.1,246.7,113,4.9,498,0.9,4.3,982,4,0,1,0
